Race,Year,Date,Finishers
Houston Marathon,2024,2024-01-14,7180
Atlanta Marathon,2024,2024-02-24,1582
Disney World Marathon,2024,2024-01-03,12710
Carmel Marathon,2024,2024-04-13,1451
Jack and Jill Downhill Marathon,2024,2024-07-27,701
Flying Pig Marathon,2024,2024-05-03,4076
Boston Marathon,2024,2024-04-15,25550
Ottawa Marathon,2024,2024-05-26,4776
Publix Florida Marathon,2024,2024-02-11,221
RnR San Diego,2024,2024-06-01,5476
Catalina Marathon,2024,2024-03-09,429
LA Marathon,2024,2024-03-17,20475
Pittsburgh Marathon,2024,2024-05-04,3650
San Francisco Marathon,2024,2024-07-27,5772
Vancouver Marathon,2024,2024-05-05,6068
Grandma's Marathon,2024,2024-06-21,7548
Cowtown Marathon,2024,2024-02-24,1425
Shamrock Marathon,2024,2024-03-16,2054
Toronto Marathon,2024,2024-05-05,2974
Surf City Marathon,2024,2024-02-03,1544
Oklahoma City Marathon,2024,2024-04-27,1910
Colfax Marathon,2024,2024-05-17,2227
OC Marathon,2024,2024-05-05,2916
Marquette Marathon,2024,2024-08-31,423
Austin Marathon,2024,2024-02-18,4002
RnR Nashville,2024,2024-04-24,2803
Fargo Marathon,2024,2024-05-28,1481
Illinois Marathon,2024,2024-04-25,735
Kentucky Derby Festival Marathon,2024,2024-04-27,1248
Cleveland Marathon,2024,2024-05-18,1591
Big Sur International Marathon,2024,2024-04-28,3433
Phoenix Marathon,2024,2024-02-10,2674
Manitoba Marathon,2024,2024-06-16,840
Bayshore Marathon,2024,2024-05-23,1308
Oakland Marathon Running Festival,2024,2024-03-17,660
Little Rock Marathon,2024,2024-03-02,1147
St. Louis Marathon,2024,2024-04-27,1253
Buffalo Marathon,2024,2024-05-25,1193
Lincoln Marathon,2024,2024-05-05,804
Missoula Marathon,2024,2024-06-29,1160
Glass City Marathon,2024,2024-04-27,1329
DONNA National Marathon and Half Marathon,2024,2024-02-03,562
Carlsbad Marathon,2024,2024-01-14,997
Ogden Marathon,2024,2024-05-18,1247
Eugene Marathon,2024,2024-04-27,3002
